timestamp,git_sha,scale,mode,query,run,sql_ms,wall_ms,note
2026-05-16T11:22:40,e2f2aeb,30m,duck,medium_range,2,114,597,scale-sweep
2026-05-16T11:22:40,e2f2aeb,30m,duck,medium_range,3,98,532,scale-sweep
2026-05-16T11:22:40,e2f2aeb,30m,index_build,idx_customer_id,1,1778923707098,79394,scale-sweep
2026-05-16T11:22:40,e2f2aeb,30m,with_index,point,1,116,1935,scale-sweep
2026-05-16T11:22:40,e2f2aeb,30m,with_index,point,2,71,1935,scale-sweep
2026-05-16T11:22:40,e2f2aeb,30m,with_index,point,3,108,1949,scale-sweep
2026-05-16T11:22:40,e2f2aeb,30m,with_index,in_list,1,230,1998,scale-sweep
2026-05-16T11:22:40,e2f2aeb,30m,with_index,in_list,2,182,2027,scale-sweep
2026-05-16T11:22:40,e2f2aeb,30m,with_index,in_list,3,208,1994,scale-sweep
2026-05-16T11:22:40,e2f2aeb,30m,with_index,narrow_range,1,98,1742,scale-sweep
2026-05-16T11:22:40,e2f2aeb,30m,with_index,narrow_range,2,91,1963,scale-sweep
2026-05-16T11:22:40,e2f2aeb,30m,with_index,narrow_range,3,104,2006,scale-sweep
2026-05-16T11:22:40,e2f2aeb,30m,with_index,medium_range,1,1095,2882,scale-sweep
2026-05-16T11:22:40,e2f2aeb,30m,with_index,medium_range,2,1015,2830,scale-sweep
2026-05-16T11:22:40,e2f2aeb,30m,with_index,medium_range,3,982,2750,scale-sweep
